uraian;satuan;2021;2022;2023;2024;sumber_data;keterangan
American Food;Resto;0;0;0;0;Hasil Pendataan ;
Chinnese Food;Resto;0;0;0;0;Hasil Pendataan ;
European Food;Resto;0;0;0;0;Hasil Pendataan ;
Indian Food;Resto;0;0;0;0;Hasil Pendataan ;
Indonesian Food;Resto;83;43;43;43;Hasil Pendataan ;
International Food;Resto;0;0;0;0;Hasil Pendataan ;
Italian Food;Resto;0;0;0;0;Hasil Pendataan ;
Japanese Food;Resto;0;0;0;0;Hasil Pendataan ;
Middle Eastern Food;Resto;0;0;0;0;Hasil Pendataan ;
Sea Food;Resto;0;0;0;0;Hasil Pendataan ;
Thai Food;Resto;0;0;0;0;Hasil Pendataan ;
Vegetarian Food;Resto;0;0;0;0;Hasil Pendataan ;
