=== ALL 191 nex.* TABLES · row counts + sizes ===
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
|                table_name                 | row_estimate_pg_stat | row_estimate_stat | total_bytes | total_size | heap_bytes | heap_size  | indexes_bytes | indexes_size | toast_bytes | toast_size |
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
| identity_merge_log                        |              1266247 |           1356945 |   939016192 | 896 MB     |  628236288 | 599 MB     |     310575104 | 296 MB       |        8192 | 8192 bytes |
| worker_cycle_run                          |                43181 |             43742 |    50790400 | 48 MB      |   39813120 | 38 MB      |      10928128 | 10 MB        |        8192 | 8192 bytes |
| category_candidate_score                  |                17633 |                 0 |    44384256 | 42 MB      |   40902656 | 39 MB      |       3432448 | 3352 kB      |        8192 | 8192 bytes |
| food_business                             |                19761 |                 0 |    35921920 | 34 MB      |   24289280 | 23 MB      |      11534336 | 11 MB        |       65536 | 64 kB      |
| discovery_rotation_state                  |                54548 |                 0 |    31531008 | 30 MB      |    9658368 | 9432 kB    |      21831680 | 21 MB        |        8192 | 8192 bytes |
| food_business_field_provenance            |                94093 |                 0 |    26820608 | 26 MB      |   15704064 | 15 MB      |      11075584 | 11 MB        |        8192 | 8192 bytes |
| provider_rate_lease                       |                82587 |               104 |    25485312 | 24 MB      |   10829824 | 10 MB      |      14614528 | 14 MB        |        8192 | 8192 bytes |
| object_blobs                              |                    7 |                 0 |    19750912 | 19 MB      |      16384 | 16 kB      |         65536 | 64 kB        |    19644416 | 19 MB      |
| mp_seller                                 |                19198 |                30 |    11911168 | 11 MB      |    7086080 | 6920 kB    |       4784128 | 4672 kB      |        8192 | 8192 bytes |
| accommodation_business_field_provenance   |                43761 |                 0 |    11075584 | 11 MB      |    7168000 | 7000 kB    |       3866624 | 3776 kB      |        8192 | 8192 bytes |
| conv_knowledge_items                      |                  865 |                 0 |    10592256 | 10 MB      |     581632 | 568 kB     |        335872 | 328 kB       |     9650176 | 9424 kB    |
| food_business_source_snapshot             |                12767 |                 0 |     9699328 | 9472 kB    |    7413760 | 7240 kB    |       2244608 | 2192 kB      |        8192 | 8192 bytes |
| worker_heartbeat                          |                25679 |             26045 |     9658368 | 9432 kB    |    5005312 | 4888 kB    |       4612096 | 4504 kB      |        8192 | 8192 bytes |
| accommodation_business                    |                 8444 |                 0 |     8716288 | 8512 kB    |    5545984 | 5416 kB    |       3112960 | 3040 kB      |       24576 | 24 kB      |
| work_item                                 |                 9601 |              9623 |     5152768 | 5032 kB    |    2719744 | 2656 kB    |       2392064 | 2336 kB      |        8192 | 8192 bytes |
| discovery_orchestrator_pick               |                18141 |                 0 |     4407296 | 4304 kB    |    3481600 | 3400 kB    |        884736 | 864 kB       |        8192 | 8192 bytes |
| accommodation_business_source_snapshot    |                 8513 |                 0 |     4120576 | 4024 kB    |    3137536 | 3064 kB    |        942080 | 920 kB       |        8192 | 8192 bytes |
| service_business                          |                 3229 |                 0 |     2834432 | 2768 kB    |    1761280 | 1720 kB    |       1032192 | 1008 kB      |        8192 | 8192 bytes |
| conv_edges                                |                 4602 |                 0 |     1990656 | 1944 kB    |     606208 | 592 kB     |       1343488 | 1312 kB      |        8192 | 8192 bytes |
| service_business_source_snapshot          |                 3192 |                 0 |     1859584 | 1816 kB    |    1196032 | 1168 kB    |        622592 | 608 kB       |        8192 | 8192 bytes |
| conv_learning_candidate                   |                 1385 |                 0 |     1286144 | 1256 kB    |     991232 | 968 kB     |        262144 | 256 kB       |        8192 | 8192 bytes |
| conv_states                               |                  281 |               303 |     1163264 | 1136 kB    |     581632 | 568 kB     |        409600 | 400 kB       |      147456 | 144 kB     |
| transport_acquisition_source_snapshot     |                  541 |                 0 |      860160 | 840 kB     |     688128 | 672 kB     |        139264 | 136 kB       |        8192 | 8192 bytes |
| business_knowledge                        |                 1258 |                 0 |      860160 | 840 kB     |     466944 | 456 kB     |        352256 | 344 kB       |        8192 | 8192 bytes |
| food_enrichment_evidence                  |                 1410 |                 0 |      720896 | 704 kB     |     294912 | 288 kB     |        385024 | 376 kB       |        8192 | 8192 bytes |
| business_image                            |                  611 |                 0 |      679936 | 664 kB     |     393216 | 384 kB     |        253952 | 248 kB       |        8192 | 8192 bytes |
